"gm_nome","guvr_id","guvr_numero","guvr_nome","media_1_receita_vendas","media_1_receita_servicos","media_1_despesas","media_1_material_reciclado","media_1_rejeito","media_1_total_material_processado","media_1_postos_de_trabalho","media_1_renda_media","media_2_receita_vendas","media_2_receita_servicos","media_2_despesas","media_2_material_reciclado","media_2_rejeito","media_2_total_material_processado","media_2_postos_de_trabalho","media_2_renda_media"
Entre Rios do Oeste,37,1,ENTRE RIOS DO OESTE - UVR 01,9553.56,0,2088.75,14.43,2326.42,2340.85,10,1265.50,20147.66,8947.93,1882.97,23.99,656.79,680.77,12,2989.53
Formosa do Oeste,26,1,FORMOSA DO OESTE - UVR 01,12330.07,0,0,13.53,3977.67,3991.20,6,1557.70,9099.98,0,0,8.60,3.75,12.35,6,1651.70
Foz do Iguaçu,62,2,FOZ DO IGUAÇU - UVR 02,21853.55,0,32948.60,42.07,6266.67,6308.74,19,1339.45,25357.70,38954.01,39015.65,44.10,1285.18,1329.28,18,1550.07
Foz do Iguaçu,66,3,FOZ DO IGUAÇU - UVR 03,27022.28,0,11706.26,81.55,6349.04,6430.59,21,2937.80,29191.97,38254.20,21325.03,40.94,401.54,442.48,20,3165.29
Foz do Iguaçu,7,4,FOZ DO IGUAÇU - UVR 04,23869.74,0,34102.38,43.20,6450.00,6493.20,18,1595.77,34157.55,36493.55,50801.26,36.60,1088.98,1125.58,22,2124.25
Foz do Iguaçu,8,5,FOZ DO IGUAÇU - UVR 05,26089.03,0,23217.30,43.63,6543.87,6587.50,15,1918.15,21525.66,32206.12,29075.19,32.26,1725.26,1182.44,15,2342.98
Foz do Iguaçu,58,6,FOZ DO IGUAÇU - UVR 06,33679.52,0,14126.24,55.89,6255.00,6310.89,20,1694.47,36758.41,41036.10,20170.24,47.95,1436.12,1484.07,19,2292.07
Foz do Iguaçu,59,7,FOZ DO IGUAÇU - UVR 07,20550.51,0,9654.91,32.09,4742.58,4774.67,18,1695.65,28385.87,23410.65,13622.30,34.81,490.04,426.84,19,2222.98
Foz do Iguaçu,63,8,FOZ DO IGUAÇU - UVR 08,19801.53,0,21084.85,38.74,5798.23,5836.97,22,1695.36,20766.32,31072.90,23135.02,26.48,740.95,767.43,22,1793.92
Francisco Alves,25,1,FRANCISCO ALVES - UVR 01,15592.94,0,979.75,21.51,8051.83,8073.34,14,1546.59,20238.70,5799.35,1047.33,19.28,1178.57,1392.91,14,2188.14
Guaíra,68,1,GUAIRA - UVR 01,21011.32,0,3514.32,31.09,13000.00,13031.09,14,1133.33,14114.61,8200.00,6990.92,15.17,1806.80,1520.83,16,1271.85
Guaraniaçu,40,1,GUARANIACU - UVR 01,23497.17,0,0,34.07,8318.97,6966.54,12,1803.62,20608.81,9473.92,5793.25,22.49,7.15,26.07,12,2534.73
Ibema,46,1,IBEMA - UVR 01,8411.47,0,1283.60,11.80,3316.67,3328.47,8,1738.67,11671.55,6612.63,2143.29,11.68,402.68,414.36,9,2118.20
Iguatu,33,1,IGUATU - UVR 01,4208.70,0,1426.00,6.50,0,6.50,3,1802.47,6907.88,19064.11,1953.92,8.63,0.99,9.28,4,2242.83
Iracema do Oeste,50,1,IRACEMA DO OESTE - UVR 01,9985.01,0,5925.35,12.59,1653.00,1665.59,8,2546.22,11876.37,16511.61,1673.10,12.63,232.60,198.71,7,2723.67
