ObjectID,Município,UVR Número,Data de referência,Número de catadores na UVR no mês da data de referência,Observações,Receita venda recicláveis,Receita prestação serviços,Despesas,Quantidade de recicláveis vendidos (kg),Rejeito (kg),Renda média catadores,x,y
1317205,Santa Lúcia,01,15/11/2024,10,,12219.62,5225,609.76,8677.8,2250,2425.36,-53.547352289,-25.40735549300001
1320806,Mercedes,01,15/11/2024,11,,26678.65,24178.55,4419.24,36000.3,12400,4950.9,-54.17514095400003,-24.448928149999972
1327205,Marechal Candido Rondon,01,15/11/2024,35,,142817.56,76402.32,0,150118.5,44580,2700,-54.04841943500003,-24.50717948800002
1314405,Nova Santa Rosa,01,15/11/2024,9,,25895.9,6090.29,1982.59,33698.5,3580,3628.57,-53.94834349600001,-24.478616218000013
1346805,Entre Rios do Oeste,01,15/11/2024,10,,23945.7,14689.36,2016,39295.5,3091,4259.51,-54.232475995000016,-24.689312416000007
1312806,Medianeira,01,15/11/2024,50,,65077.51,35250,11112.5,66201.5,2750,2064.27,-54.07024395899998,-25.317805986999986
1312805,São Miguel do Iguaçu,01,15/11/2024,41,renda com prestação de serviço ,70493.19,32570,12341.4,77242.2,42550,3000,-54.238563441999986,-25.263927275000015
1316405,Braganey,01,15/11/2024,10,"o valor em kg processado é de 24.048,00, mas sendo emitido na Nfe ,e de 17,048,00,(vlr total do teto em kg no contrato)tendo sabra de 7.000kg, para o próximo mês",16906.6,8524,3070,17048,0,2177.8,-53.29250000000002,-24.798000000000002
1319605,Maripa,01,15/11/2024,5,A Recima é uma empresa tercerizada contratada pelo Município e o pagamento é realizado pela empresa,24858.1,29503.37,0,28540,0,2500,-53.868933975999994,-24.42557344300002
1304806,Terra Roxa,01,15/11/2024,15,,25610.16,25610.16,477.25,33396.6,13697.9,2176.34,-54.12521406299999,-24.188091539000027
