id,municipio,uvr,uvr_nro,data_envio
4,Nova Aurora,NOVA AURORA - UVR 01,1,2025-04-16 14:35:54.220
32,São Miguel do Iguaçu,SÃO MIGUEL DO IGUAÇU - UVR 01,1,2025-04-22 15:00:57.143
73,Castro,RECICLACASTRO,1,2025-04-28 10:44:17.938
26,Formosa do Oeste,FORMOSA DO OESTE - UVR 01,1,2025-05-06 09:34:05.619
43,Cascavel,CASCAVEL - UVR 04 - CASCAVEL VELHO,4,2025-05-09 20:09:54.716
47,Cascavel,CASCAVEL - UVR 06 - QUEBEC,6,2025-05-20 10:16:29.789
4,Nova Aurora,NOVA AURORA - UVR 01,1,2025-05-30 16:18:22.650
43,Cascavel,CASCAVEL - UVR 04 - CASCAVEL VELHO,4,2025-06-10 01:47:09.615
42,Cascavel,CASCAVEL - UVR 03 - SANTA CRUZ,3,2025-07-09 15:37:23.800
37,Entre Rios do Oeste,ENTRE RIOS DO OESTE - UVR 01,1,2025-07-10 09:55:30.460
132,Foz do Iguaçu,FOZ DO IGUAÇU - UVR 09,9,2025-07-16 13:37:32.577
52,Ouro Verde do Oeste,OURO VERDE DO OESTE - UVR 01,1,2025-03-27 14:47:34.150
8,Foz do Iguaçu,FOZ DO IGUAÇU - UVR 05,5,2025-07-03 12:19:01.642
62,Foz do Iguaçu,FOZ DO IGUAÇU - UVR 02,2,2025-07-15 11:10:09.729
30,Cafelândia,CAFELÂNDIA - UVR 01,1,2025-03-20 16:57:05.443
131,São João do Caiuá,SÃO JOÃO DO CAIUÁ - UVR 01,1,2025-03-28 22:41:49.275
107, Amaporã,AMAPORÃ - UVR 01,1,2025-03-23 20:32:35.926
15,Terra Roxa,TERRA ROXA - UVR 01,1,2025-05-12 14:13:24.084
123,São João do Ivaí,SÃO JOÃO DO IVAÍ - UVR 01,1,2025-06-05 14:42:03.249
66,Foz do Iguaçu,FOZ DO IGUAÇU - UVR 03,3,2025-04-14 16:24:23.555
139,Douradina,DOURADINA - UVR 01,1,2025-09-22 17:04:06.765
146,Mariluz,MARILUZ - UVR 01,1,2025-09-25 10:16:25.039
134,Amambai,AMAMBAI - UVR 01,1,2025-09-29 16:16:04.270
127,Salgado Filho,SALGADO FILHO - UVR 01,1,2025-03-21 08:54:27.843
98,Presidente Castelo Branco,PRESIDENTE CASTELO BRANCO - UVR 01,1,2025-05-06 14:33:52.527
74, Alto Paraná,ALTO PARANÁ - UVR 01,1,2025-04-08 10:29:20.724
122,Palmital,PALMITAL - UVR 01,1,2025-03-21 14:16:39.202
108,Campina da Lagoa,CAMPINA DA LAGOA - UVR 01,1,2025-03-21 09:46:35.934
128,Santa Mônica,SANTA MÔNICA - UVR 01,1,2025-03-28 11:19:22.854
