"id","razao_social","cnpj","uvr","uvr_numero","municipio","data_envio"
123,ASSOCIACAO DOS AGENTES DO MEIO AMBIENTE ASSAMA,"13051969000133",MEDIANEIRA - UVR 01,1,Medianeira,2025-03-26 09:55:08.613
124,Associação de Catadores de Materiais Recicláveis de Enéas Marques,"31600888000127",ENÉAS MARQUES - UVR 01,1,Enéas Marques,2025-03-26 10:00:31.537
188,associação de catadores de reciclaveis de toledo pr ,"27403794000190",TOLEDO - UVR 01,1,Toledo,2025-07-29 08:47:11.087
128,ASSOCIAÇÃO DOS CATDORES  DE MATERIAIS RECICLAVEIS DE BORRAZÓPOLIS,"13529346000123",BORRAZÓPOLIS - UVR 01,1,Borrazópolis,2025-03-26 16:23:55.380
112,ASSOCIACAO DOS CATADORES DE MATERIAIS RECICLAVEIS DA LAPA - RECILAPA,"06076790000175",LAPA - UVR 01,1,Lapa,2025-03-21 13:26:18.449
119,bbb,"11111111111112",RECICLACASTRO,1,Castro,2025-03-25 13:18:37.482
132,Associação dos agentes ambientais de Santana do Itararé,"17198075000121",SANTANA DO ITARARÉ - UVR 01,1,Santana do Itararé,2025-03-27 12:07:45.170
137,COOPERARATIVA DE TRABALHO DE SELEÇÃO DE MATERIAIS RECICLAVEIS E PRESTAÇÃO DE SERVIÇOS DE SÃO JOÃO DO  - COOPERCAIUA,"43696805000124",SÃO JOÃO DO CAIUÁ - UVR 01,1,São João do Caiuá,2025-03-28 22:40:50.967
138,acamara unidade de reciclagem de anahy ,"42072917000141",ANAHY - UVR 01,1,Anahy,2025-03-31 14:55:31.157
139,ASSOCIAÇÃO DE CATADORES DE RECICLAVEL DE SAO PEDRO DO IGUAÇU,"35625099000100",SÃO PEDRO DO IGUAÇU - UVR 01,1,São Pedro do Iguaçu,2025-04-01 08:53:58.305
141,cooperativa campus do iguaçu,"43042400000172",FOZ DO IGUAÇU - UVR 07,7,Foz do Iguaçu,2025-04-01 15:57:43.518
146,ASSOCIAÇÃO DE RECICLAGEM LUTAR E VENCER  - ARLeV,"23757960000104",CAMPO LARGO - UVR 04,4,Campo Largo,2025-04-02 14:48:08.554
147,COOPERATIVA DE RECICLAGEM DE CAMPO LARGO E REGIAO,"44439556000154",CAMPO LARGO - UVR 05,5,Campo Largo,2025-04-02 15:10:18.442
144,ASSOCIAÇÃO UNIDOS DA RECICLAGE,"09229256500016",CAMPO LARGO - UVR 01,1,Campo Largo,2025-04-02 14:25:01.889
143,Associação dos Recicladores do municipio de Iguatu - PR,"37258801000161",IGUATU - UVR 01,1,Iguatu,2025-04-02 14:03:50.968
145,ASSOCIAÇÃO DE RECICLAGEM AMIGAS DO MEIO AMBIENTE ,"23821929000105",CAMPO LARGO - UVR 02,2,Campo Largo,2025-04-02 14:35:17.516
149,Acarterra,"13770290000102",TERRA ROXA - UVR 01,1,Terra Roxa,2025-04-04 08:36:32.063
150,Associação de Catadores de Materiais Recicláveis e/ou Aproveitáveis de Nova Santa Rosa – ASCAROSA ,"12974951000140",NOVA SANTA ROSA - UVR 01,1,Nova Santa Rosa,2025-04-04 10:29:32.844
151,Associação de Catadores Amigos da Natureza,"32393906000100",MARECHAL CANDIDO RONDON - UVR 02,2,Marechal Cândido Rondon,2025-04-04 19:58:04.670
129,Associação Dos Catadores De Boa Vista Da Aparecida ,"31783539000198",BOA VISTA DA APARECIDA - UVR 01,1,Boa Vista da Aparecida,2025-03-27 08:11:06.735
126,Associação de Catadores de Materiais Recicláveis de Enéas Marques,"31600888000127",ENÉAS MARQUES - UVR 01,1,Enéas Marques,2025-03-26 11:36:05.841
153,Cooperativa de trabalho de catadores de materiais recicláveis de Alto Paraná,"27678504000111",ALTO PARANÁ - UVR 01,1, Alto Paraná,2025-04-08 10:40:08.299
152,Associação dos Recicladores do Municipio de Itaipulândia,"10821675000155",ITAIPULÂNDIA - UVR 01,1,Itaipulândia,2025-04-08 08:45:07.399
155,associação  dos coletores de materiais recicláveis de Guaraniac ,"07649946000122",GUARANIACU - UVR 01,1,Guaraniaçu,2025-04-08 16:26:21.329
156,Associação de Separadores de Materiais Recicláveis de Serranópolis do Iguaçu - ASSESI,"14449745000147",SERRANOPOLIS DO IGUAÇU - UVR 01,1,Serranópolis do Iguaçu,2025-04-08 22:59:07.344
154,ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVEIS DO VALE DO RIBEIRA,"15302339000110",RIO BRANCO DO SUL - UVR 01,1,Rio Branco do Sul,2025-04-08 12:15:34.983
157, ASSOCIACAO DE CATADORES E CATADORAS DE MATERIAIS RECICLAVEIS DE RIO BRANCO DO SUL,"55905627000183",RIO BRANCO DO SUL - UVR 02,2,Rio Branco do Sul,2025-04-09 12:28:06.022
158,ASSOCIAÇÃO DE CATADORES DE MARECHAL CÂNDIDO RONDON,"49140907000145",MARECHAL CANDIDO RONDON - UVR 01,1,Marechal Cândido Rondon,2025-04-09 14:10:23.527
159,associação de coletores resíduos sólidos,"29399629000138",BRAGANEY - UVR 01,1,Braganey,2025-04-09 16:19:51.997
148,Associação de Catadores de Materiais Recicláveis de Matelândia,"13480848000107",MATELÂNDIA - UVR 01,1,Matelândia,2025-04-02 15:10:41.472
161,cooperativa dos catadores de materiais recicláveis do julieta bueno,"40183288000100",CASCAVEL - UVR 01 - MANAUS,1,Cascavel,2025-04-10 11:03:32.882
162,Cooperativa de Ação e Reciclagem de Cascavel e Região ,"10451803000116",CASCAVEL - UVR 02 - CAREMEL,2,Cascavel,2025-04-10 13:59:48.741
163,Associação Cascavelense dos Catadores de Recicláveis,"08992434000127",CASCAVEL - UVR 04 - CASCAVEL VELHO,4,Cascavel,2025-04-10 14:51:46.424
164,Cooperativa União de Catadores Cooperados,"52631721000101",CASCAVEL - UVR 05 - BRASÍLIA,5,Cascavel,2025-04-11 15:00:53.695
165,Acarterra,"13770290000102",TERRA ROXA - UVR 01,1,Terra Roxa,2025-04-15 07:59:48.474
166,Acarterra,"13770290000102",TERRA ROXA - UVR 01,1,Terra Roxa,2025-04-15 10:32:56.986
167,associação formosa do oeste de recicladores,"52510587000182",FORMOSA DO OESTE - UVR 01,1,Formosa do Oeste,2025-04-15 11:02:18.917
168,Acarterra,"13770290000102",TERRA ROXA - UVR 01,1,Terra Roxa,2025-04-15 11:38:28.896
169,Acarterra,"13770290000102",TERRA ROXA - UVR 01,1,Terra Roxa,2025-04-15 14:14:13.227
170,COOPERATIVA DE CATADORES DE MATERIAIS RECICLAVEIS DE FOZ DO IGUAÇU CEDRO,"42874682000101",FOZ DO IGUAÇU - UVR 03,3,Foz do Iguaçu,2025-04-16 10:35:03.046
133,ASSOCIAÇÃO DE CATADORE DE MATERIAS RECICLAVEIS DE ORTIGUEIRA AKATORGA,"28556732000181",ORTIGUEIRA - UVR 01,1,Ortigueira,2025-03-27 13:01:57.794
125,ASSOCIAÇÃO DE CATADORES DE RESÍDUOS SÓLIDOS URBANOS DO MUNÍCIPIO DE CERRO AZUL,"08702186000132",CERRO AZUL - UVR 01,1,Cerro Azul,2025-03-26 11:18:30.946
127,Associação dos Catadores de Recicláveis Nova Esperança,"07324187000128",GENERAL CARNEIRO - UVR 01,1,General Carneiro,2025-03-26 12:03:25.990
130,ASSOCIAÇÃO DE CATADORES DE RECICLAVEIS ECO CASTELO,"60477180000129",PRESIDENTE CASTELO BRANCO - UVR 01,1,Presidente Castelo Branco,2025-03-27 08:43:22.052
173,ASSOCIAÇÃO DOS AGENSTE DE MEIO AMBIENTE E RECICLAGEM DE SÃO MIGUEL DO IGUAÇU,"07013947000186",SÃO MIGUEL DO IGUAÇU - UVR 01,1,São Miguel do Iguaçu,2025-05-09 14:04:25.098
175,Associaçao ,"13770290000102",TERRA ROXA - UVR 01,1,Terra Roxa,2025-05-12 14:19:10.906
174,Associação Cascavelense dos Catadores de Recicláveis,"08992434000127",CASCAVEL - UVR 04 - CASCAVEL VELHO,4,Cascavel,2025-05-09 20:16:10.000
176,COOPERE - COOPERATIVA DOS CATADORES DE RECICLAVEIS DE CASCAVEL,"40142369000153",CASCAVEL - UVR 06 - QUEBEC,6,Cascavel,2025-05-15 14:59:21.287
171,Associação dos Coletores de Materiais Recicláveis de Nova Aurora,"15144368000109",NOVA AURORA - UVR 01,1,Nova Aurora,2025-04-16 14:54:53.490
135,ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLAVEIS DE SANTA MÔNICA,"44062093000154",SANTA MÔNICA - UVR 01,1,Santa Mônica,2025-03-28 11:43:00.868
131,ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLAVEIS DE SÃO JOÃO DO IVAÍ,"60458913000188",SÃO JOÃO DO IVAÍ - UVR 01,1,São João do Ivaí,2025-03-27 09:31:56.913
177,ASSOCIACAO RECICLA MAIS NOVA TEBAS - ARECICLANT,"60470769000103",NOVA TEBAS - UVR 01,1,Nova Tebas,2025-06-05 19:17:50.041
178,ASSOCIAÇÃO DOS AGENTES AMBIENTAIS DE SANTA HELENA,"13083468000139",SANTA HELENA - UVR 01,1,Santa Helena,2025-06-12 09:49:59.981
179,Recitã ,"20530011000190",UBIRATA - UVR 01,1,Ubiratã,2025-06-17 10:09:49.819
180,Cooperativa dos Agentes Ambientais de Foz do Iguaçu,"04912806000107",FOZ DO IGUAÇU - UVR 05,5,Foz do Iguaçu,2025-07-03 12:51:50.234
181,COAAFI - COOPERATIVA DOS AGENTES AMBIENTAIS DE FOZ DO IGUAÇU,"04912806000107",FOZ DO IGUAÇU - UVR 04,4,Foz do Iguaçu,2025-07-09 12:50:24.716
182,COOPERATIVA DOS TRABALHADORES CATADORES DE MATERIAL RECICLÁVEL ,"09251294000107",CASCAVEL - UVR 03 - SANTA CRUZ,3,Cascavel,2025-07-09 15:19:17.056
160,AQC - ASSOCIAÇÃO QUATROPONTENSE DE CATADORES,"13984510000192",QUATRO PONTES - UVR 01,1,Quatro Pontes,2025-04-09 16:32:55.670
183,associacao dos agentes ambientais de jesuitas,"11489354000168",JESUÍTAS - UVR 01,1,Jesuítas,2025-07-16 14:36:56.313
184,"124124asf","77777777777777",RECICLACASTRO,1,Castro,2025-07-21 11:22:13.861
185,ASSOCIACAO DOS CATADORES DE MATERIAIS RECICLAVEIS - (ACAMAR) - ASSIS CHATEAUBRIAND PR,"04916402000191",ASSIS CHATEAUBRIAND - UVR 01,1,Assis Chateaubriand,2025-07-21 15:22:00.160
134, ASSOCIACAO DE CATADORES DE MATERIAIS RECICLAVEIS DE OURO VERDE - ACOV,"48947026000178",OURO VERDE DO OESTE - UVR 01,1,Ouro Verde do Oeste,2025-03-27 15:24:59.844
